h,hunger,durst,energie,stimmung,gesundheit,status
0.0,98.0,97.0,100.0,100.0,100.0,lebendig
0.17,96.0,94.0,100.0,100.0,100.0,lebendig
0.33,94.0,91.0,100.0,100.0,100.0,lebendig
0.5,92.0,88.0,100.0,100.0,100.0,lebendig
0.67,90.0,85.0,100.0,100.0,100.0,lebendig
0.83,88.0,82.0,100.0,100.0,100.0,lebendig
1.0,86.0,79.0,100.0,100.0,100.0,lebendig
1.17,84.0,76.0,100.0,100.0,100.0,lebendig
1.33,82.0,73.0,99.8,100.0,100.0,lebendig
1.5,80.0,70.0,99.6,100.0,100.0,lebendig
1.67,78.0,67.0,99.3,100.0,100.0,lebendig
1.83,76.0,64.0,99.2,100.0,100.0,lebendig
2.0,74.0,91.0,99.2,100.0,100.0,lebendig
2.17,90.0,88.0,99.3,100.0,100.0,lebendig
2.33,88.0,85.0,99.6,100.0,100.0,lebendig
2.5,86.0,82.0,100.0,100.0,100.0,lebendig
2.67,84.0,79.0,100.0,100.0,100.0,lebendig
2.83,82.0,76.0,100.0,100.0,100.0,lebendig
3.0,80.0,73.0,100.0,100.0,100.0,lebendig
3.17,78.0,70.0,100.0,100.0,100.0,lebendig
3.33,76.0,67.0,99.9,100.0,100.0,lebendig
3.5,74.0,64.0,99.7,100.0,100.0,lebendig
3.67,72.0,61.0,99.4,100.0,100.0,lebendig
3.83,70.0,58.0,99.2,100.0,100.0,lebendig
4.0,90.0,85.0,99.1,100.0,100.0,lebendig
4.17,88.0,82.0,99.2,100.0,100.0,lebendig
4.33,86.0,79.0,99.4,100.0,100.0,lebendig
4.5,84.0,76.0,99.8,100.0,100.0,lebendig
4.67,82.0,73.0,100.0,100.0,100.0,lebendig
4.83,80.0,70.0,100.0,100.0,100.0,lebendig
5.0,78.0,67.0,100.0,100.0,100.0,lebendig
5.17,76.0,64.0,100.0,100.0,100.0,lebendig
5.33,74.0,61.0,100.0,100.0,100.0,lebendig
5.5,72.0,58.0,99.8,100.0,100.0,lebendig
5.67,70.0,55.0,99.6,100.0,100.0,lebendig
5.83,68.0,52.0,99.4,100.0,100.0,lebendig
6.0,90.0,79.0,99.2,100.0,100.0,lebendig
6.17,88.0,76.0,99.2,100.0,100.0,lebendig
6.33,86.0,73.0,99.3,100.0,100.0,lebendig
