h,hunger,durst,energie,gesundheit,stimmung,aktionen,status
0.0,97.0,94.0,99.5,100.0,100.0,—,stabil
1.0,94.0,88.0,99.0,100.0,100.0,—,stabil
2.0,91.0,82.0,98.5,100.0,100.0,—,stabil
3.0,88.0,76.0,98.0,100.0,100.0,—,stabil
4.0,85.0,70.0,97.5,100.0,100.0,—,stabil
5.0,82.0,64.0,97.0,100.0,100.0,—,stabil
6.0,79.0,58.0,95.0,100.0,100.0,—,stabil
7.0,76.0,52.0,93.0,100.0,100.0,—,stabil
8.0,73.0,46.0,91.0,100.0,100.0,—,stabil
9.0,70.0,40.0,89.0,100.0,100.0,—,stabil
10.0,67.0,34.0,87.0,100.0,98.0,—,BEOBACHTEN
11.0,64.0,28.0,85.0,100.0,96.0,—,BEOBACHTEN
12.0,86.0,44.0,83.0,100.0,94.0,"W,F",stabil
13.0,83.0,38.0,81.0,100.0,92.0,—,BEOBACHTEN
14.0,80.0,32.0,79.0,100.0,90.0,—,BEOBACHTEN
15.0,77.0,48.0,77.0,100.0,88.0,W,stabil
16.0,74.0,42.0,75.0,100.0,88.0,—,stabil
17.0,71.0,36.0,73.0,100.0,86.0,—,BEOBACHTEN
18.0,68.0,52.0,71.0,100.0,84.0,W,stabil
19.0,90.0,46.0,69.0,100.0,84.0,F,stabil
20.0,87.0,40.0,67.0,100.0,84.0,—,stabil
21.0,84.0,56.0,65.0,100.0,82.0,W,stabil
22.0,81.0,50.0,63.0,100.0,82.0,—,stabil
23.0,78.0,44.0,61.0,100.0,82.0,—,stabil
24.0,75.0,60.0,59.0,100.0,80.0,W,stabil
25.0,72.0,54.0,57.0,100.0,80.0,—,stabil
26.0,69.0,48.0,55.0,100.0,80.0,—,stabil
27.0,66.0,64.0,53.0,100.0,80.0,W,stabil
28.0,88.0,58.0,51.0,100.0,80.0,F,stabil
29.0,85.0,52.0,49.0,100.0,80.0,—,stabil
30.0,82.0,68.0,47.0,100.0,80.0,W,stabil
31.0,79.0,62.0,46.5,100.0,80.0,—,stabil
32.0,76.0,56.0,44.5,100.0,80.0,—,stabil
33.0,73.0,72.0,42.5,100.0,80.0,W,stabil
34.0,70.0,66.0,42.0,100.0,80.0,—,stabil
35.0,67.0,60.0,40.0,100.0,80.0,—,stabil
36.0,89.0,76.0,38.0,100.0,80.0,"W,F",stabil
37.0,86.0,70.0,37.5,100.0,80.0,—,stabil
38.0,83.0,64.0,37.0,100.0,80.0,—,stabil
39.0,80.0,80.0,35.0,100.0,80.0,W,stabil
40.0,77.0,74.0,34.5,100.0,80.0,—,stabil
41.0,74.0,68.0,34.0,100.0,80.0,—,stabil
42.0,71.0,84.0,33.5,100.0,80.0,W,stabil
43.0,68.0,78.0,33.0,100.0,80.0,—,stabil
44.0,90.0,72.0,32.5,100.0,80.0,F,stabil
45.0,87.0,88.0,32.0,100.0,80.0,W,stabil
46.0,84.0,82.0,31.5,100.0,80.0,—,stabil
47.0,81.0,76.0,31.0,100.0,80.0,—,stabil
48.0,78.0,88.0,30.5,100.0,80.0,W,stabil
49.0,75.0,82.0,30.0,100.0,80.0,—,stabil
50.0,72.0,76.0,29.5,100.0,80.0,—,stabil
51.0,69.0,88.0,29.0,100.0,80.0,W,stabil
52.0,66.0,82.0,28.5,100.0,80.0,—,stabil
53.0,88.0,76.0,28.0,100.0,80.0,F,stabil
54.0,85.0,88.0,27.5,100.0,80.0,W,stabil
55.0,82.0,82.0,27.0,100.0,80.0,—,stabil
56.0,79.0,76.0,26.5,100.0,80.0,—,stabil
57.0,76.0,88.0,26.0,100.0,80.0,W,stabil
58.0,73.0,82.0,25.5,100.0,80.0,—,stabil
59.0,70.0,76.0,25.0,100.0,80.0,—,stabil
60.0,67.0,88.0,24.5,100.0,80.0,W,stabil
61.0,89.0,82.0,24.0,100.0,80.0,F,stabil
62.0,86.0,76.0,23.5,100.0,80.0,—,stabil
63.0,83.0,88.0,23.0,100.0,80.0,W,stabil
64.0,80.0,82.0,22.5,100.0,80.0,—,stabil
65.0,77.0,76.0,22.0,100.0,80.0,—,stabil
66.0,74.0,88.0,21.5,100.0,80.0,W,stabil
67.0,71.0,82.0,21.0,100.0,80.0,—,stabil
68.0,68.0,76.0,20.5,100.0,80.0,—,stabil
69.0,90.0,88.0,20.0,100.0,80.0,"W,F",stabil
70.0,87.0,82.0,19.5,100.0,80.0,—,stabil
71.0,84.0,76.0,19.0,100.0,80.0,—,stabil
