h,hunger,durst,energie,gesundheit,stimmung,aktionen,status
0.0,97.0,94.0,99.5,100.0,100.0,—,stabil
1.0,94.0,88.0,99.0,100.0,100.0,—,stabil
2.0,91.0,82.0,98.5,100.0,100.0,—,stabil
3.0,88.0,76.0,98.0,100.0,100.0,—,stabil
4.0,85.0,88.0,97.5,100.0,100.0,W,stabil
5.0,82.0,82.0,97.0,100.0,100.0,—,stabil
6.0,79.0,76.0,96.5,100.0,100.0,—,stabil
7.0,76.0,70.0,96.0,100.0,100.0,—,stabil
8.0,73.0,86.0,95.5,100.0,100.0,W,stabil
9.0,70.0,80.0,95.0,100.0,100.0,—,stabil
10.0,67.0,74.0,94.5,100.0,100.0,—,stabil
11.0,64.0,68.0,94.0,100.0,100.0,—,stabil
12.0,61.0,84.0,93.5,100.0,100.0,W,stabil
13.0,58.0,78.0,91.5,100.0,100.0,—,stabil
14.0,80.0,72.0,89.5,100.0,100.0,F,stabil
15.0,77.0,66.0,89.0,100.0,100.0,—,stabil
16.0,74.0,82.0,87.0,100.0,100.0,W,stabil
17.0,71.0,76.0,86.5,100.0,100.0,—,stabil
18.0,68.0,70.0,86.0,100.0,100.0,—,stabil
19.0,65.0,64.0,85.5,100.0,100.0,—,stabil
20.0,62.0,80.0,83.5,100.0,100.0,W,stabil
21.0,84.0,74.0,81.5,100.0,100.0,F,stabil
22.0,81.0,68.0,81.0,100.0,100.0,—,stabil
23.0,78.0,62.0,80.5,100.0,100.0,—,stabil
24.0,75.0,78.0,78.5,100.0,100.0,W,stabil
25.0,72.0,72.0,78.0,100.0,100.0,—,stabil
26.0,69.0,66.0,77.5,100.0,100.0,—,stabil
27.0,66.0,60.0,75.5,100.0,100.0,—,stabil
28.0,88.0,76.0,73.5,100.0,100.0,"W,F",stabil
29.0,85.0,70.0,73.0,100.0,100.0,—,stabil
30.0,82.0,64.0,72.5,100.0,100.0,—,stabil
31.0,79.0,58.0,70.5,100.0,100.0,—,stabil
32.0,76.0,74.0,68.5,100.0,100.0,W,stabil
33.0,73.0,68.0,68.0,100.0,100.0,—,stabil
34.0,70.0,62.0,67.5,100.0,100.0,—,stabil
35.0,67.0,56.0,65.5,100.0,100.0,—,stabil
36.0,64.0,72.0,63.5,100.0,100.0,W,stabil
37.0,61.0,66.0,63.0,100.0,100.0,—,stabil
38.0,58.0,60.0,61.0,100.0,100.0,—,stabil
39.0,55.0,54.0,59.0,100.0,100.0,—,stabil
40.0,52.0,70.0,57.0,100.0,100.0,W,stabil
41.0,49.0,64.0,55.0,100.0,100.0,—,stabil
42.0,71.0,58.0,53.0,100.0,100.0,F,stabil
43.0,68.0,52.0,51.0,100.0,100.0,—,stabil
44.0,65.0,68.0,49.0,100.0,100.0,W,stabil
45.0,62.0,62.0,48.5,100.0,100.0,—,stabil
46.0,59.0,56.0,46.5,100.0,100.0,—,stabil
47.0,56.0,50.0,44.5,100.0,100.0,—,stabil
48.0,53.0,66.0,42.5,100.0,100.0,W,stabil
49.0,75.0,60.0,40.5,100.0,100.0,F,stabil
50.0,72.0,54.0,38.5,100.0,100.0,—,stabil
51.0,69.0,48.0,36.5,100.0,100.0,—,stabil
52.0,66.0,64.0,34.5,100.0,100.0,W,stabil
53.0,63.0,58.0,32.5,100.0,100.0,—,stabil
54.0,60.0,52.0,30.5,100.0,100.0,—,stabil
55.0,57.0,46.0,28.5,100.0,100.0,—,stabil
56.0,79.0,62.0,26.5,100.0,100.0,"W,F",stabil
57.0,76.0,56.0,24.5,100.0,100.0,—,stabil
58.0,73.0,50.0,22.5,100.0,100.0,—,stabil
59.0,70.0,44.0,20.5,100.0,100.0,—,stabil
60.0,67.0,60.0,18.5,100.0,98.0,W,stabil
61.0,64.0,54.0,16.5,100.0,98.0,—,stabil
62.0,61.0,48.0,14.5,100.0,98.0,—,stabil
63.0,83.0,42.0,12.5,100.0,98.0,F,stabil
64.0,80.0,58.0,10.5,100.0,96.0,W,stabil
65.0,77.0,52.0,8.5,100.0,96.0,—,stabil
66.0,74.0,46.0,6.5,100.0,96.0,—,stabil
67.0,71.0,40.0,4.5,100.0,96.0,—,stabil
68.0,68.0,56.0,2.5,100.0,94.0,W,stabil
69.0,65.0,50.0,0.5,100.0,94.0,—,stabil
70.0,87.0,44.0,0.0,100.0,94.0,F,stabil
71.0,84.0,38.0,0.0,100.0,92.0,—,BEOBACHTEN
